fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5,1
7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5,1
6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5,1
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6,1
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5,1
6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,6,1
5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,7,1
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,0
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,0
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,0
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,0
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,0
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5,0
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5,0
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,0
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,0
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,0
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6,0
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,0
6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,6,1
8,0.28,0.3,8.4,0.03,35,115,0.99192,2.93,0.42,12.3,6,1
6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1,5,1
